Date,Centre_Name,Commodity_Name,Price
01-01-09,CHANDIGARH,Tomato,NA
01-01-09,DELHI,Tomato,NA
01-01-09,SHIMLA,Tomato,NA
01-01-09,SRINAGAR,Tomato,NA
01-01-09,JAMMU,Tomato,NA
01-01-09,AMRITSAR,Tomato,NA
01-01-09,LUDHIANA,Tomato,NA
01-01-09,LUCKNOW,Tomato,NA
01-01-09,DEHRADUN,Tomato,NA
01-01-09,RAIPUR,Tomato,NA
01-01-09,AHMEDABAD,Tomato,NA
01-01-09,BHOPAL,Tomato,NA
01-01-09,MUMBAI,Tomato,NA
01-01-09,JAIPUR,Tomato,600
01-01-09,PATNA,Tomato,NA
01-01-09,RANCHI,Tomato,NA
01-01-09,BHUBANESHWAR,Tomato,NA
01-01-09,KOLKATA,Tomato,NA
01-01-09,GUWAHATI,Tomato,NA
01-01-09,SHILLONG,Tomato,NA
01-01-09,AIZWAL,Tomato,NA
01-01-09,KOHIMA,Tomato,NA
01-01-09,AGARTALA,Tomato,NA
01-01-09,BENGALURU,Tomato,NA
01-01-09,T.PURAM,Tomato,NA
01-01-09,CHENNAI,Tomato,NA
01-01-09,HYDERABAD,Tomato,NA
02-01-09,CHANDIGARH,Tomato,NA
02-01-09,DELHI,Tomato,NA
02-01-09,SHIMLA,Tomato,NA
02-01-09,SRINAGAR,Tomato,NA
02-01-09,JAMMU,Tomato,NA
02-01-09,AMRITSAR,Tomato,NA
02-01-09,LUDHIANA,Tomato,NA
02-01-09,LUCKNOW,Tomato,NA
02-01-09,DEHRADUN,Tomato,NA
02-01-09,RAIPUR,Tomato,NA
02-01-09,AHMEDABAD,Tomato,NA
02-01-09,BHOPAL,Tomato,NA
02-01-09,MUMBAI,Tomato,NA
02-01-09,JAIPUR,Tomato,600
02-01-09,PATNA,Tomato,NA
02-01-09,RANCHI,Tomato,NA
02-01-09,BHUBANESHWAR,Tomato,NA
02-01-09,KOLKATA,Tomato,NA
02-01-09,GUWAHATI,Tomato,NA
02-01-09,SHILLONG,Tomato,NA
02-01-09,AIZWAL,Tomato,NA
02-01-09,KOHIMA,Tomato,NA
02-01-09,AGARTALA,Tomato,NA
02-01-09,BENGALURU,Tomato,NA
02-01-09,T.PURAM,Tomato,NA
02-01-09,CHENNAI,Tomato,NA
02-01-09,HYDERABAD,Tomato,NA
05-01-09,CHANDIGARH,Tomato,NA
05-01-09,DELHI,Tomato,NA
05-01-09,SHIMLA,Tomato,NA
05-01-09,SRINAGAR,Tomato,NA
05-01-09,JAMMU,Tomato,NA
05-01-09,AMRITSAR,Tomato,NA
05-01-09,LUDHIANA,Tomato,NA
05-01-09,LUCKNOW,Tomato,NA
05-01-09,DEHRADUN,Tomato,NA
05-01-09,RAIPUR,Tomato,NA
05-01-09,AHMEDABAD,Tomato,NA
05-01-09,BHOPAL,Tomato,NA
05-01-09,MUMBAI,Tomato,NA
05-01-09,JAIPUR,Tomato,NA
05-01-09,PATNA,Tomato,NA
05-01-09,RANCHI,Tomato,NA
05-01-09,BHUBANESHWAR,Tomato,NA
05-01-09,KOLKATA,Tomato,NA
05-01-09,GUWAHATI,Tomato,NA
05-01-09,SHILLONG,Tomato,NA
05-01-09,AIZWAL,Tomato,NA
05-01-09,KOHIMA,Tomato,NA
05-01-09,AGARTALA,Tomato,NA
05-01-09,BENGALURU,Tomato,NA
05-01-09,T.PURAM,Tomato,NA
05-01-09,CHENNAI,Tomato,NA
05-01-09,HYDERABAD,Tomato,NA
06-01-09,CHANDIGARH,Tomato,NA
06-01-09,DELHI,Tomato,NA
06-01-09,SHIMLA,Tomato,NA
06-01-09,SRINAGAR,Tomato,NA
06-01-09,JAMMU,Tomato,NA
06-01-09,AMRITSAR,Tomato,NA
06-01-09,LUDHIANA,Tomato,NA
06-01-09,LUCKNOW,Tomato,NA
06-01-09,DEHRADUN,Tomato,NA
06-01-09,RAIPUR,Tomato,NA
06-01-09,AHMEDABAD,Tomato,NA
06-01-09,BHOPAL,Tomato,NA
06-01-09,MUMBAI,Tomato,NA
06-01-09,JAIPUR,Tomato,NA
06-01-09,PATNA,Tomato,NA
06-01-09,RANCHI,Tomato,NA
06-01-09,BHUBANESHWAR,Tomato,NA
06-01-09,KOLKATA,Tomato,NA
06-01-09,GUWAHATI,Tomato,NA
06-01-09,SHILLONG,Tomato,NA
06-01-09,AIZWAL,Tomato,NA
06-01-09,KOHIMA,Tomato,NA
06-01-09,AGARTALA,Tomato,NA
06-01-09,BENGALURU,Tomato,NA
06-01-09,T.PURAM,Tomato,NA
06-01-09,CHENNAI,Tomato,NA
06-01-09,HYDERABAD,Tomato,NA
07-01-09,CHANDIGARH,Tomato,NA
07-01-09,DELHI,Tomato,NA
07-01-09,SHIMLA,Tomato,NA
07-01-09,SRINAGAR,Tomato,NA
07-01-09,JAMMU,Tomato,NA
07-01-09,AMRITSAR,Tomato,NA
07-01-09,LUDHIANA,Tomato,NA
07-01-09,LUCKNOW,Tomato,NA
07-01-09,DEHRADUN,Tomato,NA
07-01-09,RAIPUR,Tomato,NA
07-01-09,AHMEDABAD,Tomato,NA
07-01-09,BHOPAL,Tomato,NA
07-01-09,MUMBAI,Tomato,NA
07-01-09,JAIPUR,Tomato,NA
07-01-09,PATNA,Tomato,NA
07-01-09,RANCHI,Tomato,NA
07-01-09,BHUBANESHWAR,Tomato,NA
07-01-09,KOLKATA,Tomato,NA
07-01-09,GUWAHATI,Tomato,NA
07-01-09,SHILLONG,Tomato,NA
07-01-09,AIZWAL,Tomato,NA
07-01-09,KOHIMA,Tomato,NA
07-01-09,AGARTALA,Tomato,NA
07-01-09,BENGALURU,Tomato,NA
07-01-09,T.PURAM,Tomato,NA
07-01-09,CHENNAI,Tomato,NA
07-01-09,HYDERABAD,Tomato,NA
09-01-09,CHANDIGARH,Tomato,NA
09-01-09,DELHI,Tomato,NA
09-01-09,SHIMLA,Tomato,NA
09-01-09,SRINAGAR,Tomato,NA
09-01-09,JAMMU,Tomato,NA
09-01-09,AMRITSAR,Tomato,NA
09-01-09,LUDHIANA,Tomato,NA
09-01-09,LUCKNOW,Tomato,NA
09-01-09,DEHRADUN,Tomato,NA
09-01-09,RAIPUR,Tomato,NA
09-01-09,AHMEDABAD,Tomato,NA
09-01-09,BHOPAL,Tomato,NA
09-01-09,MUMBAI,Tomato,NA
09-01-09,JAIPUR,Tomato,NA
09-01-09,PATNA,Tomato,NA
09-01-09,RANCHI,Tomato,NA
09-01-09,BHUBANESHWAR,Tomato,NA
09-01-09,KOLKATA,Tomato,NA
09-01-09,GUWAHATI,Tomato,NA
09-01-09,SHILLONG,Tomato,NA
09-01-09,AIZWAL,Tomato,NA
09-01-09,KOHIMA,Tomato,NA
09-01-09,AGARTALA,Tomato,NA
09-01-09,BENGALURU,Tomato,NA
09-01-09,T.PURAM,Tomato,NA
09-01-09,CHENNAI,Tomato,NA
09-01-09,HYDERABAD,Tomato,NA
12-01-09,CHANDIGARH,Tomato,NA
12-01-09,DELHI,Tomato,NA
12-01-09,SHIMLA,Tomato,NA
