"","Centre_Name","Price","date","month","year","Centre_Name_cat"
13,"JAIPUR",600.0,1,1,9,30
40,"JAIPUR",600.0,2,1,9,30
256,"JAIPUR",400.0,15,1,9,30
283,"JAIPUR",400.0,16,1,9,30
310,"JAIPUR",400.0,19,1,9,30
364,"JAIPUR",400.0,21,1,9,30
391,"JAIPUR",500.0,22,1,9,30
472,"JAIPUR",500.0,28,1,9,30
553,"JAIPUR",500.0,2,2,9,30
580,"JAIPUR",500.0,3,2,9,30
607,"JAIPUR",500.0,4,2,9,30
850,"JAIPUR",500.0,17,2,9,30
877,"JAIPUR",500.0,18,2,9,30
904,"JAIPUR",500.0,19,2,9,30
931,"JAIPUR",500.0,20,2,9,30
1039,"JAIPUR",500.0,26,2,9,30
4180,"AGARTALA",2000.0,19,8,9,0
5695,"CHENNAI",2400.0,11,11,9,11
5722,"CHENNAI",2400.0,12,11,9,11
5749,"CHENNAI",2400.0,13,11,9,11
5803,"CHENNAI",1300.0,17,11,9,11
5855,"BENGALURU",1600.0,19,11,9,6
5857,"CHENNAI",1300.0,19,11,9,11
5882,"BENGALURU",1600.0,20,11,9,6
5884,"CHENNAI",1200.0,20,11,9,11
5911,"CHENNAI",1500.0,23,11,9,11
5936,"BENGALURU",1600.0,24,11,9,6
5938,"CHENNAI",1400.0,24,11,9,11
5992,"CHENNAI",1200.0,26,11,9,11
6017,"BENGALURU",1600.0,27,11,9,6
6019,"CHENNAI",1200.0,27,11,9,11
6044,"BENGALURU",1600.0,30,11,9,6
6045,"T.PURAM",20.0,30,11,9,62
6099,"T.PURAM",23.0,2,12,9,62
6126,"T.PURAM",24.0,3,12,9,62
6153,"T.PURAM",24.0,4,12,9,62
6180,"T.PURAM",24.0,7,12,9,62
6206,"BENGALURU",1400.0,8,12,9,6
6207,"T.PURAM",24.0,8,12,9,62
6234,"T.PURAM",24.0,9,12,9,62
6260,"BENGALURU",1400.0,10,12,9,6
6261,"T.PURAM",25.0,10,12,9,62
6314,"BENGALURU",1400.0,14,12,9,6
6316,"CHENNAI",1200.0,14,12,9,11
6342,"T.PURAM",25.0,15,12,9,62
6343,"CHENNAI",1200.0,15,12,9,11
6369,"T.PURAM",25.0,16,12,9,62
6370,"CHENNAI",2500.0,16,12,9,11
6396,"T.PURAM",25.0,17,12,9,62
6397,"CHENNAI",2400.0,17,12,9,11
6423,"T.PURAM",25.0,18,12,9,62
6450,"T.PURAM",25.0,21,12,9,62
6451,"CHENNAI",1800.0,21,12,9,11
6477,"T.PURAM",25.0,22,12,9,62
6503,"BENGALURU",2200.0,23,12,9,6
6531,"T.PURAM",25.0,24,12,9,62
6586,"CHENNAI",1200.0,30,12,9,11
6611,"BENGALURU",800.0,31,12,9,6
6613,"CHENNAI",1200.0,31,12,9,11
6638,"BENGALURU",1200.0,1,1,10,6
6665,"BENGALURU",800.0,4,1,10,6
6667,"CHENNAI",1200.0,4,1,10,11
6692,"BENGALURU",1200.0,5,1,10,6
6694,"CHENNAI",1200.0,5,1,10,11
6720,"T.PURAM",2500.0,6,1,10,62
6746,"BENGALURU",1200.0,7,1,10,6
6800,"BENGALURU",1200.0,11,1,10,6
6801,"T.PURAM",2500.0,11,1,10,62
6817,"JAIPUR",800.0,12,1,10,30
6827,"BENGALURU",1200.0,12,1,10,6
6828,"T.PURAM",2500.0,12,1,10,62
6855,"T.PURAM",2500.0,13,1,10,62
6871,"JAIPUR",800.0,14,1,10,30
6881,"BENGALURU",1200.0,14,1,10,6
6882,"T.PURAM",2500.0,14,1,10,62
6909,"T.PURAM",2500.0,15,1,10,62
6936,"T.PURAM",2500.0,18,1,10,62
6937,"CHENNAI",1200.0,18,1,10,11
6944,"AMRITSAR",1300.0,19,1,10,4
6952,"JAIPUR",1000.0,19,1,10,30
6962,"BENGALURU",600.0,19,1,10,6
6964,"CHENNAI",900.0,19,1,10,11
6977,"BHOPAL",750.0,20,1,10,8
6979,"JAIPUR",1000.0,20,1,10,30
6989,"BENGALURU",600.0,20,1,10,6
6991,"CHENNAI",800.0,20,1,10,11
7006,"JAIPUR",1000.0,21,1,10,30
7043,"BENGALURU",600.0,22,1,10,6
7070,"BENGALURU",600.0,25,1,10,6
7071,"T.PURAM",2500.0,25,1,10,62
7082,"DEHRADUN",1400.0,27,1,10,14
7085,"BHOPAL",700.0,27,1,10,8
7087,"JAIPUR",1000.0,27,1,10,30
7097,"BENGALURU",600.0,27,1,10,6
7098,"T.PURAM",2500.0,27,1,10,62
7114,"JAIPUR",1000.0,28,1,10,30
7124,"BENGALURU",600.0,28,1,10,6
7125,"T.PURAM",2480.0,28,1,10,62
7152,"T.PURAM",2500.0,29,1,10,62
7179,"T.PURAM",2500.0,1,2,10,62
7195,"JAIPUR",1000.0,2,2,10,30
7206,"T.PURAM",2500.0,2,2,10,62
7217,"DEHRADUN",1400.0,3,2,10,14
7220,"BHOPAL",600.0,3,2,10,8
7222,"JAIPUR",1000.0,3,2,10,30
7232,"BENGALURU",600.0,3,2,10,6
7233,"T.PURAM",2500.0,3,2,10,62
7247,"BHOPAL",600.0,4,2,10,8
7249,"JAIPUR",1000.0,4,2,10,30
7260,"T.PURAM",2500.0,4,2,10,62
7268,"AMRITSAR",1300.0,5,2,10,4
